"ticker","date","amount"
"FTS.TO","2011-11-09",0.2900
"FTS.TO","2012-02-13",0.3000
"FTS.TO","2012-05-15",0.3000
"FTS.TO","2012-08-15",0.3000
"FTS.TO","2012-11-14",0.3000
"FTS.TO","2013-02-12",0.3100
"FTS.TO","2013-05-15",0.3100
"FTS.TO","2013-08-14",0.3100
"FTS.TO","2013-11-13",0.3100
"FTS.TO","2014-02-12",0.3200
"FTS.TO","2014-05-14",0.3200
"FTS.TO","2014-08-13",0.3200
"FTS.TO","2014-10-22",0.3200
"FTS.TO","2015-02-12",0.3400
"FTS.TO","2015-05-14",0.3400
"FTS.TO","2015-08-17",0.3400
"FTS.TO","2015-11-16",0.3750
"FTS.TO","2016-02-12",0.3750
"FTS.TO","2016-05-16",0.3750
"FTS.TO","2016-08-17",0.3750
"FTS.TO","2016-11-16",0.4000
"FTS.TO","2017-02-14",0.4000
"FTS.TO","2017-05-17",0.4000
"FTS.TO","2017-08-17",0.4000
"FTS.TO","2017-11-17",0.4250
"FTS.TO","2018-02-14",0.4250
"FTS.TO","2018-05-17",0.4250
"FTS.TO","2018-08-20",0.4250
"FTS.TO","2018-11-19",0.4500
"FTS.TO","2019-02-14",0.4500
"FTS.TO","2019-05-16",0.4500
"FTS.TO","2019-08-19",0.4500
"FTS.TO","2019-11-18",0.4780
"FTS.TO","2020-02-14",0.4780
"FTS.TO","2020-05-14",0.4780
"FTS.TO","2020-08-18",0.4780
"FTS.TO","2020-11-17",0.5050
"FTS.TO","2021-02-12",0.5050
"FTS.TO","2021-05-14",0.5050
"FTS.TO","2021-08-18",0.5050
"FTS.TO","2021-11-16",0.5350
"FTS.TO","2022-02-14",0.5350
"FTS.TO","2022-05-16",0.5350
"FTS.TO","2022-08-18",0.5350
"FTS.TO","2022-11-16",0.5650
"FTS.TO","2023-02-14",0.5650
"FTS.TO","2023-05-16",0.5650
"FTS.TO","2023-08-18",0.5650
"FTS.TO","2023-11-16",0.5900
"FTS.TO","2024-02-15",0.5900
"FTS.TO","2024-05-16",0.5900
"FTS.TO","2024-08-20",0.5900
"FTS.TO","2024-11-18",0.6150
"FTS.TO","2025-02-18",0.6150
"FTS.TO","2025-05-16",0.6150
"FTS.TO","2025-08-19",0.6150
"FTS.TO","2025-11-17",0.6400
"FTS.TO","2026-02-17",0.6400
"FTS.TO","2026-05-15",0.6400
"PPL.TO","2003-10-29",0.2630
"PPL.TO","2003-11-26",0.2630
"PPL.TO","2003-12-29",0.2630
"PPL.TO","2004-01-28",0.2630
"PPL.TO","2004-02-25",0.2630
"PPL.TO","2004-03-29",0.2630
"PPL.TO","2004-04-28",0.2630
"PPL.TO","2004-05-27",0.2630
"PPL.TO","2004-06-28",0.2630
"PPL.TO","2004-07-28",0.2630
"PPL.TO","2004-08-27",0.2630
"PPL.TO","2004-09-28",0.2630
"PPL.TO","2004-10-27",0.2630
"PPL.TO","2004-11-26",0.2630
"PPL.TO","2004-12-29",0.2630
"PPL.TO","2005-01-27",0.0880
"PPL.TO","2005-02-24",0.0880
"PPL.TO","2005-03-29",0.0880
"PPL.TO","2005-04-27",0.0880
"PPL.TO","2005-05-27",0.0880
"PPL.TO","2005-06-28",0.0880
"PPL.TO","2005-07-27",0.0880
"PPL.TO","2005-08-29",0.0880
"PPL.TO","2005-09-28",0.0880
"PPL.TO","2005-10-27",0.0880
"PPL.TO","2005-11-28",0.0880
"PPL.TO","2005-12-28",0.0880
"PPL.TO","2006-01-27",0.0950
"PPL.TO","2006-02-24",0.0950
"PPL.TO","2006-03-29",0.0950
"PPL.TO","2006-04-26",0.0950
"PPL.TO","2006-05-29",0.0950
"PPL.TO","2006-06-28",0.0950
"PPL.TO","2006-07-27",0.0950
"PPL.TO","2006-08-29",0.1000
"PPL.TO","2006-09-27",0.1000
"PPL.TO","2006-10-27",0.1000
"PPL.TO","2006-11-28",0.1000
"PPL.TO","2006-12-27",0.1000
"PPL.TO","2007-01-29",0.1100
"PPL.TO","2007-02-26",0.1100
"PPL.TO","2007-03-28",0.1100
"PPL.TO","2007-04-26",0.1100
"PPL.TO","2007-05-29",0.1100
"PPL.TO","2007-06-27",0.1100
"PPL.TO","2007-07-27",0.1100
"PPL.TO","2007-08-29",0.1200
"PPL.TO","2007-09-26",0.1200
"PPL.TO","2007-10-29",0.1200
"PPL.TO","2007-11-28",0.1200
"PPL.TO","2007-12-27",0.1200
"PPL.TO","2008-01-29",0.1200
"PPL.TO","2008-02-27",0.1200
"PPL.TO","2008-03-27",0.1200
"PPL.TO","2008-04-28",0.1200
"PPL.TO","2008-05-28",0.1200
"PPL.TO","2008-06-26",0.1200
"PPL.TO","2008-07-29",0.1200
"PPL.TO","2008-08-27",0.1300
"PPL.TO","2008-09-26",0.1300
"PPL.TO","2008-10-29",0.1300
"PPL.TO","2008-11-26",0.1300
"PPL.TO","2008-12-29",0.1300
"PPL.TO","2009-01-28",0.1300
"PPL.TO","2009-02-25",0.1300
"PPL.TO","2009-04-28",0.1300
"PPL.TO","2009-05-27",0.1300
"PPL.TO","2009-06-23",0.1300
"PPL.TO","2009-07-22",0.1300
"PPL.TO","2009-08-21",0.1300
"PPL.TO","2009-09-23",0.1300
